s,,,,,,,,,,,,,,,,,,,
1,Logic Gates,Venture Capital,Microsoft Excel,Economics,Valuation,FAS 157,Data Analysis,Market Analysis,Financial Analysis,Financial Modeling,,,,,,,,,
2,Banking,Natural Language Processing,Data Science,SAP BI,Data Visualization,Business Intelligence,Statistical Data Analysis,Web Applications,Risk Management,,,,,,,,,,
3,Biostatistics,Healthcare,Project Planning,Policy Analysis,Analysis,Qualitative Research,Research,Statistics,Management,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
6,Economics,Policy Analysis,Quantitative Research,Public Speaking,Data Analysis,Public Policy,Qualitative Research,Research,Statistics,,,,,,,,,,
7,Statistical Modeling,Financial Modeling,Real Estate Investment - Private Equity,Analytics,SPSS,Financial Modeling - M&A,SAS,Segmentation,Predictive Analytics,Equity Research,Data Analysis,Business Analysis,,,,,,,
8,Test Management,Software Quality Assurance,Test Automation,Testing,Agile Methodologies,Machine Learning,R,Test Planning,Data Analysis,,,,,,,,,,
9,Banking,Data Mining,Stakeholder Management,Teradata,Analytics,SAS,Data Warehousing,SQL,Product Development,Business Analysis,,,,,,,,,
10,Data Mining,Python,Java,SSRS,R,Data Analysis,SQL,Analysis,Ruby on Rails,,,,,,,,,,
11,Distributed Systems,Software Design,C++,Web Services,Agile Methodologies,C#,Multithreading,Algorithms,Software Development,SQL,Win32,Software Engineering,,,,,,,
12,Knowledge-hungry Learner,Data Science,Yarn,Hadoop,Python,Linux,Machine Learning,MapReduce,R,,,,,,,,,,
13,SharePoint,Microsoft SQL Server,Business Intelligence,Software Development,Visual Studio,SQL,Databases,Business Analysis,Management,,,,,,,,,,
14,Business Planning,Team Management,Project Planning,Forecasting,Business Strategy,Supply Chain,Strategy,Competitive Analysis,Analysis,,,,,,,,,,
15,IT Operations Management,DevOps,Leadership,Kanban,IT Infrastructure Management,Strategy,Consulting,IT Management,Scrum,,,,,,,,,,
16,SAP BI,SAP R/3,SAP ERP,SAP Netweaver,SAP Implementation,ABAP,Business Intelligence,Project Management,SAP,ERP,SAP Portal,,,,,,,,
17,Cross-functional Problem Solving,Product Management,Data Visualization,Rapid Prototyping,Requirements Analysis,User Experience,Business Intelligence,SQL,Strategic Planning,,,,,,,,,,
18,Data Mining,Usability,Omniture,Analytics,Predictive Analytics,Web Analytics,Information Architecture,User Experience,Usability Testing,Statistics,,,,,,,,,
19,Proteomics,Systems Biology,Cell,Life Sciences,Cell Biology,Cell Culture,Mass Spectrometry,Western Blotting,Cellular Signaling,Protein Expression,,,,,,,,,
20,SPSS,Database,Data mining,Analisi dei dati,Ricerca,Statistiche,Ricerca clinica,SQL,Epidemiologia,,,,,,,,,,
21,Due Diligence,Mergers & Acquisitions,Venture Capital,Valuation,Investment Banking,Start-ups,Strategy,Financial Analysis,Financial Modeling,,,,,,,,,,
22,Data Science,Python,Data Warehousing,Windows Azure,R,Business Intelligence,Statistical Data Analysis,Enterprise Software,Scrum,,,,,,,,,,
23,Product Management,Digital Strategy,Agile Methodologies,Mobile Devices,Web Analytics,Digital Media,Business Intelligence,E-commerce,Scrum,,,,,,,,,,
24,Gestion de projet,Microsoft Excel,Microsoft Office,PowerPoint,Business Development,Microsoft Word,Project Management,Web design,Management,,,,,,,,,,
25,Agile Methodologies,Predictive Analytics,Technical Leadership,Windows Azure,Design Patterns,.NET,Software Development,Cloud Computing,Scrum,,,,,,,,,,
26,Spark,Data Science,Microsoft SQL Server,C#,Big Data,Machine Learning,Microsoft Azure,Web Applications,ASP.NET,,,,,,,,,,
27,Analytics,Segmentation,Strategy,Market Research,Data Analysis,Marketing,Consumer Insights,Strategic Planning,Business Analysis,Management,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,
29,Biostatistics,SPSS,Microsoft Excel,Public Health,Healthcare,Epidemiology,Data Analysis,Program Evaluation,Research,Statistics,,,,,,,,,
30,Highly Ambitious,Marketing Research,Market Research,Data Analysis,Marketing Strategy,Consumer Behaviour,Commercial insight,Marketing Management,Business Insights,,,,,,,,,,
31,Leadership,Social Entrepreneurship,Problem Solving,Customer Service,E-commerce,Marketing Strategy,Data Analysis,Social Media Marketing,Analysis,Social Media,Management,,,,,,,,
32,SharePoint,Agile Methodologies,Program Management,SAFe (Scaled Agile Framework),Business Intelligence,Requirements Analysis,Project Management,Software Development,Scrum,,,,,,,,,,
33,Software Project Management,Agile Methodologies,Microsoft SQL Server,SDLC,Program Management,Business Intelligence,Agile Project Management,Cross-functional Team Leadership,Cloud Computing,,,,,,,,,,
34,Software Quality Assurance,Test Automation,Testing,Agile Methodologies,TFS,C#,SDLC,Test Planning,.NET,Scrum,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,
36,Web Services,Integration,Java,SDLC,Spring,Web Applications,Software Development,SQL,GWAPT,Hibernate,,,,,,,,,
37,Microsoft SQL Server,Data Warehousing,SDLC,SSIS,Business Intelligence,Data Modeling,Business Objects,SQL,Business Analysis,,,,,,,,,,
38,Data Mining,C++,Python,Energy Efficiency,Algorithms,Numerical Linear Algebra,Parallel Computing,High Performance Computing,Computer Science,LaTeX,C,,,,,,,,
39,XML,SharePoint,Microsoft SQL Server,C#,JavaScript,Silverlight,Software Development,XHTML,Web Development,,,,,,,,,,
40,Due Diligence,Finance,Portfolio Management,AML,Equity Research,Investments,Equities,Asset Management,Financial Risk,,,,,,,,,,
41,Microsoft Excel,C++,Python,Linear Regression,Markov Chain Monte Carlo,PowerPoint,Public Speaking,Data Analysis,Research,,,,,,,,,,
42,Spatial Analysis,Data Management,ArcGIS,ArcView,Project Planning,PostGIS,GIS,Geography,GIS applications,GIS analysis,Databases,Web Mapping,ESRI,,,,,,
43,Databases,Microsoft Office,Java,C#,PowerPoint,Requirements Analysis,SQL,Software Engineering,English,,,,,,,,,,
44,ASM,Oracle,Microsoft SQL Server,SQL Tuning,Unix,Database Design,RMAN,Data Migration,Oracle Database,Performance Tuning,RAC,Oracle RAC,,,,,,,
45,Software Quality Assurance,Game Development,Quality Assurance,Animal Communication,Tableau,Scrum,SQL,MySQL,Technical Documentation,,,,,,,,,,
46,Environmental Science,GIS,Carbon,Science,Scientific Writing,Climate Change,Conservation Issues,Environmental Awareness,Biodiversity,,,,,,,,,,
47,Analytics,Big data,Espíritu empresarial,Estrategia,Business Strategy,Gestión de proyectos,Business Intelligence,Administración y dirección de empresas,Entrepreneurship,,,,,,,,,,
48,Distributed Systems,Testing,Test Automation,Agile Methodologies,Databases,Test Planning,Software Development,Software Engineering,Cloud Computing,,,,,,,,,,
49,Software Design,Web Services,Integration,Microsoft SQL Server,C#,jQuery,Software Development,WCF,.NET,,,,,,,,,,
50,Statistics,Social Entrepreneurship,Econometrics,Economic Research,Market Research,Entrepreneurship,Marketing,Research,Strategic Planning,,,,,,,,,,
51,QA Automation,Java,Microsoft Certified Professional,CompTIA,Big Data,Selenium Testing,Entrepreneurship,Enterprise Architecture,QA Engineering,,,,,,,,,,
52,T-SQL,Microsoft SQL Server,C#,Business Intelligence,.NET,Software Development,Enterprise Architecture,Databases,Cloud Computing,,,,,,,,,,
53,Public Health,Epidemiology,Machine Learning,Strategy,Data Analysis,AnyLogic,Program Evaluation,Qualitative Research,Research,,,,,,,,,,
54,Software Project Management,Microsoft SQL Server,Data Warehousing,SDLC,SSIS,Business Intelligence,Requirements Analysis,Data Modeling,SQL,,,,,,,,,,
55,Data Mining,Analytics,SEM,Business Strategy,Data Warehousing,E-commerce,Business Intelligence,Digital Marketing,Strategic Partnerships,,,,,,,,,,
56,Software Design,C#,Object Oriented Design,Android Development,JavaScript,OOP,Design Patterns,Software Development,.NET,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,
58,CRM,Business Strategy,Program Management,Start-ups,Software Development,Enterprise Software,Cross-functional Team Leadership,Cloud Computing,Management,,,,,,,,,,
59,Production Support,PL/SQL,Oracle,PeopleSoft,Unix,Shell Scripting,Databases,Data Warehousing,RMAN,Performance Tuning,Oracle RAC,,,,,,,,
60,T-SQl,Visual C#,PowerPivot,Data Warehousing,SSIS,Database Design,Data Analysis,Visual Studio,Social Media Measurement,SQL,Databases,,,,,,,,
61,System Architecture,ASIC,Product Management,Go-to-market Strategy,Ethernet,Security,Cross-functional Team Leadership,Cloud Computing,Networking,,,,,,,,,,
62,Software Project Management,Agile Methodologies,Solution Architecture,C#,Leadership,Mobile Devices,Program Management,Agile Project Management,Software Development,Enterprise Software,.NET,,,,,,,,
63,,,,,,,,,,,,,,,,,,,
64,Software Project Management,Test Management,Test Automation,Testing,Scalability,Agile Methodologies,Quality Center,SDLC,Test Planning,,,,,,,,,,
65,Information Security Management,IT Strategy,Knowledge Management,Governance,Policy Analysis,Security,NGOs,Program Management,IT Management,ITIL,Enterprise Architecture,International Relations,International Development,,,,,,
66,Azure Machine Learning,Data Analytics,Data Science,Python,Team Leadership,Data Warehousing,R,Business Intelligence,Data Modeling,,,,,,,,,,
67,Software Project Management,Agile Methodologies,Solution Architecture,SDLC,Requirements Analysis,Software Development,Enterprise Software,Pre-sales,Management,,,,,,,,,,
68,Distributed Systems,Product Management,Agile Methodologies,Mobile Devices,Windows Azure,Start-ups,Business Intelligence,Entrepreneurship,Software Development,Programming,Software Engineering,Cloud Computing,,,,,,,
69,,,,,,,,,,,,,,,,,,,
70,Django,Python,Computational Physics,Big Data,Machine Learning,R,Data Analysis,Numerical Simulation,SQL,,,,,,,,,,
71,DoD,Leadership,Government,Government Contracting,Business Development,Program Management,Data Analysis,Financial Analysis,Analysis,Strategic Planning,Management,,,,,,,,
72,,,,,,,,,,,,,,,,,,,
73,Cross-functional Team Leadership,Manufacturing,Continuous Improvement,Program Management,Business Process Improvement,Lean Manufacturing,Project Management,Product Development,Engineering,,,,,,,,,,
74,Product Management,Agile Methodologies,Streaming Media,Live Streaming,Digital Media,Agile Project Management,Software Development,Software Engineering,Scrum,,,,,,,,,,
75,Microbiology,Molecular Biology,Biotechnology,Biochemistry,Scientific Writing,Technical Writing,Scientific Computing,Data Analysis,Project Management,Research,,,,,,,,,
76,Forecasting,C#,R,Database Design,Data Modeling,SQL,Data Integration,Supply Chain Management,Relational Databases,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,
78,LINQ,PHP,Microsoft SQL Server,C#,Visual Studio,SQL,ASP.NET,MySQL,WPF,,,,,,,,,,
79,Statistical Modeling,Regression Analysis,Analytics,Microsoft Excel,Decision Trees,Predictive Analytics,SQL,Analysis,Statistics,,,,,,,,,,
80,Banking,Process Improvement,Retail Banking,SDLC,Business Analysis,Risk Management,,,,,,,,,,,,,
81,Data Mining,Postgr,Python,R,Database Design,Statistical Data Analysis,Data Analysis,Transact-SQL (T-SQL),Statistics,,,,,,,,,,
82,ETL,Data Management,IT Strategy,Solution Architecture,OLTP,Data Warehousing,Business Intelligence Tools,Microsoft Technologies,Business Intelligence,SQL,Solution Development,Databases,,,,,,,
83,JSON,C++,Java,Machine Learning,C#,SQL,ASP.NET,Software Engineering,Cloud Computing,,,,,,,,,,
84,Virtualization,Vendor Management,IT Strategy,Integration,Solution Architecture,Data Center,Software Development,SOA,Analysis,Enterprise Software,Management,,,,,,,,
85,Data Science,Apache Spark,Software Quality Assurance,Test Automation,Agile Methodologies,Microsoft Azure,R,Test Planning,Hive,,,,,,,,,,
86,Data Analytics,XML,Python,Big Data,Machine Learning,R,SQL,Analysis,Tableau,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,
88,Troubleshooting,Java,OSIsoft PI,R,Spanish,Technical Data Analysis,Data Analysis,SQL,Windows,,,,,,,,,,
89,CCDP,Security+,Integration,Leadership,PMP,Data Warehousing,Data Center,Management,CEH,Information Technology,Project Management,Business Intelligence,Networking,,,,,,
90,Agile,Python,Agile Methodologies,C#,Java,Perl,Software Development,SQL,Databases,.NET,,,,,,,,,
91,Software Design,Product Management,User Interface,Agile Methodologies,User Interface Design,Product Design,Strategy,User Experience,Management,,,,,,,,,,
92,Spatial Analysis,Environmental Science,GIS,Field Work,Environmental Awareness,Natural Resource Management,Remote Sensing,GPS,Electronics,,,,,,,,,,
93,Change Management,Service Delivery,Process Improvement,Process Engineering,Six Sigma,IT Service Management,Business Process Improvement,Project Management,ITIL,,,,,,,,,,
94,Microsoft Excel,Python,Data Visualization,PowerPoint,R,Data Analysis,SQL,Research,Data Wrangling,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,
96,Analytics,SharePoint,Business Process,Integration,Microsoft SQL Server,Program Management,Business Intelligence,Enterprise Architecture,Management,,,,,,,,,,
97,Teamwork,Microsoft Excel,Excel,Microsoft Office,Event Planning,Training,Leadership,PowerPoint,Marketing,Management,Customer Service,Spanish,Microsoft Word,Data Analysis,SQL,Analysis,Social Media,Analytical Skills,Fundraising
98,Computational Fluid Dynamics (CFD),Computer Simulation,Flow Assurance,Technical Report Writing,Oil & Gas,Process Engineering,Energy,Upstream,Process Plant Simulation,,,,,,,,,,
99,Teaching,Biochemistry,Python,Lifesciences,Technical Writing,Data Analysis,Project Management,High Performance Computing,Research,,,,,,,,,,
100,Business Planning,Stakeholder Engagement,Business Strategy,Corporate Governance,Strategy,Data Analysis,Project Management,Strategic Planning,Business Analysis,,,,,,,,,,
101,PHP,Agile Methodologies,Eclipse,J2EE,Subversion,Java,JavaScript,Maven,MySQL,Scrum,,,,,,,,,
102,Natural Language Processing,Data Science,Analytics,Hadoop,Machine Learning,Data Visualization,MapReduce,R,Data Analysis,,,,,,,,,,
103,ETL,Dimensional Modeling,Analysis Services,Microsoft SQL Server,SSRS,Data Warehousing,MDX,Business Intelligence,Databases,,,,,,,,,,
104,Banking,Business Requirements,SAS,SDLC,Business Process Improvement,Data Analysis,Requirements Analysis,SQL,Business Analysis,,,,,,,,,,
105,Software Project Management,Software Design,Agile Methodologies,C#,Architectural Design,Software Development,Enterprise Architecture,Software Engineering,.NET,,,,,,,,,,
106,SharePoint,IT Strategy,Solution Architecture,Microsoft SQL Server,Data Warehousing,Microsoft Technologies,Business Intelligence,Software Development,Enterprise Architecture,Enterprise Software,,,,,,,,,
107,Electrical Engineering,Product Management,Testing,Smart Grid,Automation,Entrepreneurship,Software Development,Systems Engineering,Software Documentation,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,
109,VMware,Windows Server 2008,VMware ESX,VCP,VMware Infrastructure,DHCP,ITIL,VMware Server,Active Directory,,,,,,,,,,
110,Customer Insight,Team Building,Analytics,CRM,Segmentation,Marketing Research,Business Analytics,Market Research,Competitive Analysis,Thought Leadership,Financial Services,,,,,,,,
111,Process Safety Management,Process Improvement,DCS,Troubleshooting,VBA,Statistical Data Analysis,Chemical Engineering,Databases,Process Control,,,,,,,,,,
112,SEM,Marketing,Web Analytics,Business Intelligence,Data Analysis,SaaS,Analysis,Statistics,Management,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,
114,Python,C++,PHP,Testing,Linux,Java,Programming,x86 Assembly,C,,,,,,,,,,
115,Teaching,Bioinformatics,Algorithms,LaTeX,Software Development,,,,,,,,,,,,,,
116,Teaching,Team Building,Leadership,Public Speaking,Data Analysis,Higher Education,Analysis,Research,Management,,,,,,,,,,
117,Leadership Development,Leadership,Social Entrepreneurship,Public Speaking,Strategy,Program Development,Consulting,Strategic Planning,Management,,,,,,,,,,
118,Demand Generation,Product Management,Analytics,Data Warehousing,SDLC,Product Marketing,Program Management,Business Intelligence,Agile Project Management,Multi-channel Marketing,,,,,,,,,
119,Agile Methodologies,Microsoft SQL Server,C#,JavaScript,Software Development,WCF,Software Engineering,Test Driven Development,Scrum,,,,,,,,,,
120,Ontology Engineering,Knowledge Management,Business Strategy,Business Intelligence,Ontologies,Software Development,Computer Science,Data Integration,Software Engineering,,,,,,,,,,
121,Team Building,Analytics,Vendor Management,Customer Experience,Process Improvement,Market Research,Project Management,Business Analysis,Management,,,,,,,,,,
122,SEO,Online Marketing,PPC,SEM,Web Analytics,Data Analysis,Google Analytics,Online Advertising,Tableau,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,
124,Data Mining,Embedded Systems,Machine Learning,Algorithms,Matlab,LaTeX,Software Development,Signal Processing,Computer Science,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,
126,Telecommunications,Python,Linux,Unix,Mobile Devices,Software Development,SQL,Programming,MySQL,,,,,,,,,,
127,CSS3,Software Design,JavaScript Libraries,C#,Object Oriented Design,JavaScript,Ruby on Rails,WCF,Web Development,,,,,,,,,,
128,System Architecture,Analytics,Linux,Information Security,Intrusion Detection,Security,Perl,Computer Security,Network Security,Cloud Computing,,,,,,,,,
129,Characterization,Experimentation,Physics,Materials Science,Semiconductors,Matlab,LaTeX,Data Analysis,Research,,,,,,,,,,
130,Microsoft Excel,Python,Predictive Modeling,PowerPoint,Marketing,R,SQL,Google Analytics,Tableau,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,
132,Change Management,Business Process,Project Planning,Integration,PMP,Project Management,ERP,Business Analysis,Systems Analysis,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,
134,Online Marketing,Dutch,Microsoft Office,Brand Management,Food,Marketing,Food Industry,Marketing Communications,English,,,,,,,,,,
135,Ad Hoc Reporting,Economics,Looker,JavaScript,Data Analysis,CSS,HTML,Statistics,PostgreSQL,,,,,,,,,,
136,Banking,SPSS,Dutch,Interim Management,Financiële analyse,Commercial Banking,Management Consulting,Strategie,,,,,,,,,,,
137,ETL,Business Process,Data Quality,OBIEE,Data Warehousing,Business Intelligence,Data Modeling,Data Migration,Databases,,,,,,,,,,
138,Software Project Management,C++,Oracle,PL/SQL,Unix,Java,Perl,Java Enterprise Edition,Requirements Analysis,,,,,,,,,,
139,Communication,Adobe Analytics,Marketing Research,Marketing Strategy,Social Media Marketing,SQL,Social Media,Tableau,Google Analytics,,,,,,,,,,
140,Software Project Management,Product Management,Agile Methodologies,C#,Strategy,Software Development,Enterprise Software,Software Engineering,Cloud Computing,,,,,,,,,,
141,Telecommunications,Network Engineering,Testing,Mobile Devices,Information Technology,Technical Support,Routing,IP,Networking,,,,,,,,,,
142,Microsoft Office,Java,Data Visualization,R,Public Speaking,Scientific Computing,Data Analysis,Software Development,Research,,,,,,,,,,
143,Power Plants,Radiation,Nuclear Engineering,Simulation,CFD,Matlab,Fortran,Simulations,Engineering,Nuclear,,,,,,,,,
144,Relational Data Modeling,Data Science,Predictive Modeling,Access,R,Matlab,Data Analysis,Mathematical Modeling,Statistics,,,,,,,,,,
145,Distributed Systems,MPI,Parallel Programming,Parallel Algorithms,Algorithms,Scientific Computing,High Performance Computing,Computer Science,Software Engineering,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,
147,ETL,PL/SQL,Data Quality,Gap Analysis,Data Analysis,Data Modeling,SQL,Data Profiling,Business Impact Analysis,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,
150,Product Management,Agile Methodologies,Scaled Agile Framework,Leadership,Engineering Management,SDLC,Program Management,Strategic Partnerships,Cross-functional Team Leadership,,,,,,,,,,
151,Software Project Management,Testing,Agile Methodologies,C#,Software Development,Software Design Patterns,Enterprise Architecture,.NET,Scrum,,,,,,,,,,
152,C++,Image Processing,Java,Pattern Recognition,Machine Learning,Matlab,Signal Processing,Computer Vision,C,,,,,,,,,,
153,XML,Eclipse,Linux,Java,Shell Scripting,DB2,Unix,Perl,Software Development,SQL,,,,,,,,,
154,Unternehmensberatung,Unternehmensstrategie,Veränderungsmanagement,Microsoft Office,Logistikmanagement,Logistik,Unternehmensführung,Projektmanagement,Strategisches Management,,,,,,,,,,
155,Direct Sales,Selling Skills,Coaching,Dutch,Marketing,Sales,Sales Process,Research,English,,,,,,,,,,
